context,has_disfluency,text
salary_increase,false,"I've taken on significantly more responsibility this year, including the Johnson account and mentoring two junior staff members. Based on market research and my contributions, I believe a 15% salary increase is appropriate. I'd like to discuss this with you."
salary_increase,false,"I wanted to schedule time to talk about my compensation. Over the past year, I've exceeded my performance goals and taken on the Johnson account, which has generated substantial revenue. I'm requesting a 15% raise and would appreciate your consideration."
salary_increase,false,"Can we discuss my salary? I've been doing research on market rates for my position, and with the additional responsibilities I've assumed this year—including the Johnson account—I feel a 15% increase would be fair and competitive."
salary_increase,false,"I'd like to talk about my pay. This year I've managed the Johnson account and mentored two people on the team. Looking at what others in similar roles are making, I think a 15% raise makes sense. What are your thoughts?"
salary_increase,false,"I'm hoping we can review my compensation today. Given my expanded role this year with the Johnson account and the mentoring I've been doing, I've prepared a case for a 15% salary adjustment based on market comparisons."
difficult_coworker,false,"I need to talk about a situation with a colleague. They've been taking credit for my work in team meetings, and when I've tried to address it directly, they've been dismissive. This has happened three times now, and it's affecting my ability to get recognition for my contributions. What's the best way to handle this?"
difficult_coworker,false,"There's an issue I need help with regarding a coworker. In our last three team meetings, they've presented my ideas as their own, and when I pulled them aside to discuss it, they brushed me off. I'm not sure whether to escalate this or try a different approach. What would you suggest?"
difficult_coworker,false,"I'm dealing with a challenging situation at work. A team member keeps claiming ownership of projects I've led, and my attempts to resolve it one-on-one haven't worked. It's becoming a pattern—this is the third instance—and I'm concerned about how it's impacting my reputation. How should I proceed?"
difficult_coworker,false,"I wanted to get your advice on something. There's someone on my team who's been taking credit for my contributions in meetings, and they won't acknowledge it when I bring it up privately. It's happened multiple times now, and I'm worried about how this reflects on me professionally. What's the right way to address this?"
difficult_coworker,false,"Can I talk to you about a workplace problem? A colleague has repeatedly presented my work as theirs during team discussions, and they've been unresponsive when I've tried to talk to them about it directly. I've documented three specific incidents so far. What do you think my next step should be?"
housing_inquiry,false,"Hello, I'm calling about the two-bedroom unit listed on your website. I'm relocating for work and need to move in by the first of next month. Could you tell me about the application process, required documentation, and whether the unit is still available?"
housing_inquiry,false,"Hi there, I saw your listing for a two-bedroom apartment online. I'm starting a new job in the area and my move-in date is the first of next month. Is the place still open, and what do I need to do to apply?"
housing_inquiry,false,"Good morning, I'm interested in the two-bedroom you have advertised. I'll be moving to the area for employment and would need to be in by the beginning of next month. Can you walk me through what's required for the application and confirm availability?"
housing_inquiry,false,"Hey, calling about the two-bedroom rental I found on your site. I got a job transfer and need a place by next month. What kind of paperwork do you need, and is it still up for rent?"
housing_inquiry,false,"Hello, I'm reaching out regarding the two-bedroom unit I saw listed. I'm relocating for a work opportunity with a move-in timeline of the first of next month. Could you please provide information on the application requirements and current availability?"
safety_report,false,"I'm calling to report a safety concern. There's exposed electrical wiring in the second-floor break room near the coffee station. I noticed it this morning, and it looks like the outlet cover is completely missing. Several people use that area daily, so I wanted to make sure this gets addressed quickly."
safety_report,false,"I need to report something that seems dangerous. The electrical outlet by the coffee maker on the second floor has exposed wiring—the cover's gone. I saw it when I went in there today, and since a lot of people go through there, I thought I should let someone know right away."
safety_report,false,"Hi, I wanted to alert you to a safety hazard. In the break room on the second floor near the coffee area, there's an outlet with no cover and you can see the wiring. I came across it this morning. Given how much foot traffic that space gets, it should probably be fixed as soon as possible."
safety_report,false,"I'm reporting a potential safety problem. There's an outlet in the second-floor break room, right by where we make coffee, and the wiring is totally exposed—no cover at all. I spotted it earlier today, and with how many people use that room, it seems pretty urgent."
safety_report,false,"Hello, I need to bring a safety issue to your attention. The electrical outlet near the coffee station in our second-floor break room is missing its cover, leaving the wiring exposed. I observed this hazard this morning, and considering the high traffic in that area, I believe it requires immediate attention."
customer_service,false,"Hi, I'm reaching out about order number 45832. I received the package yesterday, but the item inside was damaged—there's a crack along the side. I'd like to either get a replacement or a full refund. Can you help me with that?"
customer_service,false,"Hello, I need assistance with order 45832. The product arrived yesterday, but it came damaged with a crack on the side. I'm hoping we can arrange either a refund or a replacement. What are my options?"
customer_service,false,"Hey, I got my order—number 45832—yesterday, but there's a problem. The item has a crack running down the side, so it's definitely damaged. Can you send me a new one or just refund me? Let me know what works."
customer_service,false,"Good afternoon, I'm contacting you regarding order number 45832. Upon receiving my delivery yesterday, I discovered the item was damaged, specifically a crack along the side. I would like to request either a replacement product or a complete refund. How should we proceed?"
customer_service,false,"Hi there, writing about order 45832 that came yesterday. Unfortunately, the thing inside was broken—it's got a crack on one side. I'd be happy with either getting a new one sent out or just getting my money back. Can you take care of this for me?"
project_management,false,"I've just been assigned to lead my first major project team—eight people across three departments. My biggest concern is how to delegate effectively when I'm used to being an individual contributor. Do you have any advice on making that transition successfully?"
project_management,false,"So I'm leading a project team for the first time—eight people from different departments. I keep wanting to just do everything myself since that's what I'm used to, but I know that's not sustainable. How do I get better at delegating and trusting my team?"
project_management,false,"I wanted to get your input on something. They've put me in charge of a cross-functional project with eight team members, and it's my first time in this kind of leadership role. I'm struggling with letting go of tasks and delegating work effectively. What strategies have worked for you?"
project_management,false,"I'm in a new position leading a project team of eight people spanning three different departments. Coming from an individual contributor role, I find myself hesitant to delegate tasks. Could you share some guidance on how to manage this transition and become a more effective delegator?"
project_management,false,"Hey, quick question for you. I just got tapped to run a project with eight people from three departments, which is my first real leadership gig. The hard part for me is figuring out how to hand off work instead of doing it all myself like I usually do. Any tips on how to make that shift?"
academic_advice,false,"I'm a junior considering graduate school in public policy, but I'm not sure if I should go straight through or get work experience first. My GPA is strong, but I don't have much practical experience yet. What would you recommend?"
academic_advice,false,"So I'm trying to decide about grad school for public policy. I could apply now as a junior, or I could graduate and work for a bit first. My grades are good, but I haven't really worked in the field yet. What do you think makes more sense?"
academic_advice,false,"I need some advice about my academic path. I'm a junior thinking about pursuing a graduate degree in public policy, and I'm torn between applying immediately or gaining some professional experience first. While my academic performance is solid, I'm lacking in real-world experience. What would your recommendation be?"
academic_advice,false,"I wanted to ask your opinion on something. I'm a junior, and I've been looking at public policy grad programs. The question is whether to go right after I graduate or work a few years first. I've got a strong GPA going for me, but not a lot of hands-on experience in policy work. What's your take?"
academic_advice,false,"Can I get your thoughts on grad school timing? I'm a junior interested in public policy programs, but I'm debating whether to apply this year or work first after graduation. My academic record is strong, though I'm short on practical field experience. Which path would you suggest?"
social_networking,false,"I relocated to a new city six months ago for work, and I'm struggling to build a social network outside of my office. I've tried a few meetup groups, but I find it hard to move past small talk into real friendships. Do you have any strategies that might help?"
social_networking,false,"So I moved here about six months ago for my job, and I'm having trouble making friends outside work. I've gone to some meetup things, but I can't seem to get beyond the surface-level conversation stuff. Any ideas on how to actually connect with people?"
social_networking,false,"I'm reaching out because I've been in this new city for six months now—came here for work—and I'm finding it difficult to develop a social circle beyond my colleagues. I've attended several meetup groups, but transitioning from casual conversation to genuine friendships has been challenging. What approaches would you recommend?"
social_networking,false,"I wanted to ask for some advice. It's been six months since I moved here for work, and I haven't really built a friend group outside the office yet. I keep going to meetups, but I get stuck at the small talk phase and don't know how to take it deeper. What should I be doing differently?"
social_networking,false,"Hey, so I relocated for work about half a year ago, and I'm not having much luck making friends here apart from coworkers. I've been to a bunch of meetup events, but I just end up making small talk and then nothing comes of it. Do you have any suggestions for getting past that?"
salary_increase,true,"Um, I've taken on, like, significantly more responsibility this year, including, uh, the Johnson account and mentoring two junior staff members. Based on, like, market research and my contributions, I believe a 15% salary increase is... is appropriate. I'd like to discuss this with you."
salary_increase,true,"I wanted to, uh, schedule time to talk about my compensation. Over the past year, I've exceeded my performance goals and, um, taken on the Johnson account, which has generated substantial, substantial revenue. So, I'm requesting a 15% raise and would... I would appreciate your consideration."
salary_increase,true,"Can we, uh... can we discuss my salary? I've been doing research on market rates for my position, and with the additional responsibilities I've assumed this year—including the Johnson account—I feel, um, a 15% increase would be fair and competitive."
salary_increase,true,"I'd like to talk about my pay, pay this year. This year I've, uh, managed the Johnson account and mentored two people on the team. Looking at what others in similar roles are making... I think a 15% raise, like, makes sense. What are your thoughts?"
salary_increase,true,"I'm hoping we can review my compensation today. Given my expanded role this year with the Johnson account and the... the mentoring I've been doing, I've prepared a case for a 15% salary adjustment based on, uh, market comparisons, you know."
difficult_coworker,true,"I need to talk about a... a situation with a colleague. They've been, like, taking credit for my work in team meetings, and when I've tried to address it directly, they've been... well, dismissive. This has happened, like, three times now, and it's affecting my ability to get recognition for my contributions. What's the best way to handle this, you think?"
difficult_coworker,true,"There's an issue I need help with regarding a coworker. In our last three team meetings, they've, uh, presented my ideas as their own, and when I pulled them aside to discuss it, they just kinda brushed me off. I'm not sure whether to escalate this or try a different approach, um... What would you suggest?"
difficult_coworker,true,"I'm dealing with a challenging situation, you know, at work. A team member keeps claiming ownership of projects I've led, and my attempts to resolve it one-on-one... they haven't worked. It's becoming a pattern—this is the third instance—and I'm concerned about how it's, like, impacting my reputation. How should I proceed?"
difficult_coworker,true,"I wanted to get your advice on something. There's someone on my team who's been taking credit for my contributions in meetings, and they won't acknowledge it when I bring it up privately. It's happened multiple, multiple times now, and I'm worried about, uh... how this reflects on me professionally. What's the right way to address this, really?"
difficult_coworker,true,"Can I talk to you about a workplace problem? A colleague has repeatedly presented my work as theirs during team discussions, and they've been, uh, unresponsive when I've tried to talk to them about it directly. I've documented three specific, specific incidents so far. What do you think my next step should be?"
housing_inquiry,true,"Hello, um, I'm calling about the two-bedroom unit listed on your website. I'm relocating for work and need to move in by... by the first of next month. Could you tell me about the application process, required documentation, and, uh, whether the unit is still available?"
housing_inquiry,true,"Hi there, I saw your listing for a two-bedroom apartment online. I'm starting a new job in the area and my move-in date is, uh, the first of next month. Is the place still open, and what do I need to do to, like, apply?"
housing_inquiry,true,"Good morning, I'm interested in the two-bedroom you have advertised. I'll be moving to the area for employment and would need to be in by... by the beginning of next month. Can you walk me through what's required for the application and confirm, um, availability?"
housing_inquiry,true,"Hey, calling about the two-bedroom rental I found on your site. I got a job transfer and need a place by next month. What kind of paperwork do you, like, need, and is it... is it still up for rent, you know?"
housing_inquiry,true,"Hello, I'm reaching out regarding the two-bedroom unit I saw listed. I'm relocating for a work opportunity with a move-in timeline of the first of next month. Could you please provide information on the application requirements and, uh, current availability?"
safety_report,true,"I'm calling to report a safety concern. There's, uh, exposed electrical wiring in the second-floor break room near the coffee station. I noticed it this morning, and it looks like the outlet cover is... is completely missing. Several people use that area daily, so I wanted to make sure this gets addressed quickly."
safety_report,true,"I need to report something that seems dangerous, really dangerous. The electrical outlet by the coffee maker on the second floor has exposed wiring—the cover's gone. I saw it when I went in there today, and since a lot of people go through there, I thought I should, uh, let someone know right away."
safety_report,true,"Hi, I wanted to alert you to a safety hazard. In the break room on the second floor near the coffee area, there's an outlet with no cover and you can, like, see the wiring. I came across it this morning. Given how much foot traffic that space gets, it should probably be fixed as soon as possible, you know?"
safety_report,true,"I'm reporting a potential, potential safety problem. There's an outlet in the second-floor break room, right by where we make coffee, and the wiring is totally exposed—no cover at all. I spotted it earlier today, and with how many people use that room, it seems pretty urgent, actually."
safety_report,true,"Hello, I need to bring a safety issue to your attention. The electrical outlet near the coffee station in our second-floor break room is missing its cover, leaving the wiring exposed. I observed this hazard this morning, and considering the high traffic in that area, I believe it requires immediate, immediate attention."
customer_service,true,"Hi, I'm reaching out about order number, uh, 45832. I received the package yesterday, but the item inside was damaged—there's a crack along the side. I'd like to either get a replacement or a full refund. Can you help me with that?"
customer_service,true,"Hello, I need assistance with order 45832. The product arrived yesterday, but it came damaged with a crack on the side. I'm hoping we can arrange either a refund or a replacement. What are my options, exactly?"
customer_service,true,"Hey, I got my order—number 45832—yesterday, but there's a problem, a big problem. The item has a crack running down the side, so it's definitely damaged. Can you send me a new one or just refund me? Let me know what works."
customer_service,true,"Good afternoon, I'm contacting you regarding order number 45832. Upon receiving my delivery yesterday, I discovered the item was damaged, specifically, um, a crack along the side. I would like to request either a replacement product or a complete refund. How should we proceed?"
customer_service,true,"Hi there, writing about order 45832 that came yesterday. Unfortunately, the thing inside was, like, broken—it's got a crack on one side. I'd be happy with either getting a new one sent out or just getting my money back. Can you take care of this for me?"
project_management,true,"I've just been assigned to lead my first major project team—eight people across three departments. My biggest concern is, um, how to delegate effectively when I'm used to being an individual, individual contributor. Do you have any advice on making that transition successfully?"
project_management,true,"So I'm leading a project team for the first time—eight people from different departments. I keep wanting to just do everything myself since that's what I'm used to, but I know that's not, not sustainable. How do I get better at delegating and trusting my team?"
project_management,true,"I wanted to get your input on something. They've put me in charge of a cross-functional project with eight team members, and it's my first time in this kind of leadership role. I'm struggling with, uh, letting go of tasks and delegating work effectively. What strategies have worked for you, do you think?"
project_management,true,"I'm in a new position leading a project team of eight people spanning three different departments. Coming from an individual contributor role, I find myself hesitant, you know, to delegate tasks. Could you share some guidance on how to manage this transition and become a more effective delegator?"
project_management,true,"Hey, quick question for you. I just got tapped to run a project with eight people from three departments, which is my first real leadership gig. The hard part for me is figuring out how to hand off work instead of doing it all myself like I usually, usually do. Any tips on how to make that shift?"
academic_advice,true,"I'm a junior considering, uh, graduate school in public policy, but I'm not sure if I should go straight through or get work experience first. My GPA is strong, but I don't have much practical, like, practical experience yet. What would you recommend?"
academic_advice,true,"So I'm trying to decide about grad school for public policy. I could apply now as a junior, or I could graduate and work for a bit first. My grades are good, but I haven't really worked in the field, you know, yet. What do you think makes more sense, exactly?"
academic_advice,true,"I need some advice about my academic path. I'm a junior thinking about pursuing a graduate degree in public policy, and I'm torn between applying immediately or gaining some professional experience first. While my academic performance is solid, I'm lacking in real-world experience. What would your, uh, recommendation be?"
academic_advice,true,"I wanted to ask your opinion on something. I'm a junior, and I've been looking at public policy grad programs. The question is whether to go right after I graduate or work a few years first. I've got a strong, strong GPA going for me, but not a lot of hands-on experience in policy work. What's your take, um?"
academic_advice,true,"Can I get your thoughts on grad school timing? I'm a junior interested in public policy programs, but I'm debating whether to apply this year or work first after graduation. My academic record is strong, though I'm short on practical field experience. Which path, like, which path would you suggest?"
social_networking,true,"I relocated to a new city six months ago for work, and I'm, like, struggling to build a social network outside of my office. I've tried a few meetup groups, but I find it hard to move past small talk into real friendships. Do you have any strategies that might help, um, help me?"
social_networking,true,"So I moved here about six months ago for my job, and I'm having trouble making, like, making friends outside work. I've gone to some meetup things, but I can't seem to get beyond the surface-level conversation stuff. Any ideas on how to actually, you know, connect with people?"
social_networking,true,"I'm reaching out because I've been in this new city for six months now—came here for work—and I'm finding it difficult to develop a social circle beyond my colleagues. I've attended several meetup groups, but transitioning from casual conversation to genuine friendships has been, like, challenging. What approaches would you recommend?"
social_networking,true,"I wanted to ask for some advice. It's been six months since I moved here for work, and I haven't really built a friend group outside the office yet. I keep going to meetups, but I get stuck at the small talk phase and don't know how to take it, um, take it deeper. What should I be doing differently?"
social_networking,true,"Hey, so I relocated for work about half a year ago, and I'm not having much luck making friends here apart from coworkers. I've been to a bunch of meetup events, but I just end up making small talk and then nothing comes of it. Do you have any suggestions for getting, like, getting past that?"